n_waypoints,n_aerial,n_ground,aerial_speed,ground_speed,aerial_max_time,ground_max_time,aerial_inspection_time,ground_inspection_time,solve_time,status,objective_value,aerial_used,ground_used,aerial_avg_distance,ground_avg_distance,aerial_avg_time,ground_avg_time
15,2,2,3.0,2.0,30.0,60.0,1.0,3.0,0.050742387771606445,optimal,0.0,1,0,66.54306144467343,0.0,23.18102048155781,0.0
15,2,2,3.0,2.0,30.0,60.0,1.0,3.0,0.05978965759277344,optimal,0.0,1,0,71.4096628206449,0.0,24.803220940214967,0.0
15,2,2,3.0,2.0,30.0,60.0,1.0,3.0,0.05246233940124512,optimal,0.0,0,0,0.0,0.0,0.0,0.0
15,2,2,4.0,2.0,30.0,60.0,1.0,3.0,0.0477597713470459,optimal,0.0,0,0,0.0,0.0,0.0,0.0
15,2,2,4.0,2.0,30.0,60.0,1.0,3.0,0.05378913879394531,optimal,0.0,0,0,0.0,0.0,0.0,0.0
15,2,2,4.0,2.0,30.0,60.0,1.0,3.0,0.04817652702331543,optimal,0.0,1,0,85.19359368898196,0.0,22.29839842224549,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.05916714668273926,optimal,1.0,2,1,106.81509943489664,92.82667333289719,22.363019886979323,49.41333666644859
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.04802083969116211,optimal,1.0,1,1,113.35450284013953,113.0531761363286,23.670900568027907,59.5265880681643
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.1722249984741211,optimal,2.0,2,2,118.80074546368108,103.02714250819898,24.760149092736217,54.51357125409949
15,2,2,6.0,2.0,30.0,60.0,1.0,3.0,0.07545042037963867,optimal,2.0,2,2,125.76148205546247,79.75183862778843,21.960247009243744,42.875919313894215
15,2,2,6.0,2.0,30.0,60.0,1.0,3.0,0.0805656909942627,optimal,2.0,2,2,136.41243750233713,104.02932019118603,23.735406250389524,55.014660095593015
15,2,2,6.0,2.0,30.0,60.0,1.0,3.0,0.0622403621673584,optimal,2.0,2,2,170.2070748079919,46.981999181514084,29.36784580133198,26.490999590757042
15,2,2,7.0,2.0,30.0,60.0,1.0,3.0,0.07218813896179199,optimal,2.0,2,2,161.29064572012632,90.76008996436556,24.041520817160904,48.38004498218278
15,2,2,7.0,2.0,30.0,60.0,1.0,3.0,0.07512784004211426,optimal,1.0,1,1,144.99865366953054,60.296781750880804,21.714093381361504,33.1483908754404
15,2,2,7.0,2.0,30.0,60.0,1.0,3.0,0.5305671691894531,optimal,2.0,2,2,136.33182608460692,78.20831229665347,20.975975154943846,42.10415614832674
15,2,2,5.0,1.0,30.0,60.0,1.0,3.0,0.03586292266845703,optimal,0.0,1,0,125.60505625077415,0.0,26.12101125015483,0.0
15,2,2,5.0,1.0,30.0,60.0,1.0,3.0,0.029957294464111328,optimal,0.0,1,0,42.13994169676169,0.0,9.427988339352337,0.0
15,2,2,5.0,1.0,30.0,60.0,1.0,3.0,0.031183242797851562,optimal,0.0,1,0,131.31209609742322,0.0,27.262419219484645,0.0
15,2,2,5.0,1.5,30.0,60.0,1.0,3.0,0.033637046813964844,optimal,0.0,1,0,101.60556991759466,0.0,21.321113983518934,0.0
15,2,2,5.0,1.5,30.0,60.0,1.0,3.0,0.031122207641601562,optimal,0.0,1,0,16.72809787456124,0.0,4.345619574912248,0.0
15,2,2,5.0,1.5,30.0,60.0,1.0,3.0,0.033693790435791016,optimal,0.0,0,0,0.0,0.0,0.0,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.06309342384338379,optimal,2.0,2,2,139.37250099948608,72.78323776248146,28.874500199897216,39.39161888124073
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.04332327842712402,optimal,1.0,1,1,123.34221185907116,76.79622220202613,25.66844237181423,41.398111101013065
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.11377286911010742,optimal,2.0,2,2,126.95916270080625,83.71491808362359,26.39183254016125,44.857459041811794
15,2,2,5.0,2.5,30.0,60.0,1.0,3.0,0.044054508209228516,optimal,1.0,2,1,130.296950592249,91.18960814143111,27.059390118449805,39.475843256572446
15,2,2,5.0,2.5,30.0,60.0,1.0,3.0,0.05329585075378418,optimal,1.0,1,1,119.66353112996187,80.76020145852713,24.932706225992373,35.30408058341085
15,2,2,5.0,2.5,30.0,60.0,1.0,3.0,0.0559391975402832,optimal,0.0,2,0,105.45681206917249,0.0,22.0913624138345,0.0
